topic,total_queries_issued,total_snippets_examined,total_documents_examined,total_documents_marked_relevant,num_rel,num_ret,num_rel_ret,p5,p10,p20,map
303,1,26,26,26,86,26,7,0.2000,0.2000,0.2000,0.0201
307,1,26,26,26,242,26,15,0.8000,0.5000,0.5000,0.0408
310,1,26,26,26,65,26,7,0.4000,0.2000,0.1000,0.0469
314,1,26,26,26,76,26,0,0.0000,0.0000,0.0000,0.0000
322,1,26,26,26,65,26,3,0.0000,0.1000,0.1500,0.0064
325,1,26,26,26,280,26,15,0.8000,0.7000,0.7000,0.0394
330,1,26,26,26,193,26,15,0.2000,0.3000,0.4500,0.0341
336,1,26,26,26,42,26,13,0.4000,0.3000,0.4500,0.1307
341,1,26,26,26,37,26,3,0.0000,0.1000,0.0500,0.0088
344,1,26,26,26,123,26,5,0.2000,0.2000,0.2500,0.0183
345,1,26,26,26,9,26,1,0.0000,0.0000,0.0000,0.0051
347,1,26,26,26,165,26,11,0.0000,0.0000,0.3500,0.0202
353,1,26,26,26,21,26,0,0.0000,0.0000,0.0000,0.0000
354,1,26,26,26,376,26,6,0.0000,0.1000,0.2000,0.0031
362,1,26,26,26,175,26,19,0.4000,0.7000,0.7500,0.0730
363,1,26,26,26,111,26,7,0.2000,0.2000,0.2000,0.0146
367,1,26,26,26,95,26,2,0.0000,0.0000,0.1000,0.0022
372,1,26,26,26,60,26,4,0.0000,0.2000,0.2000,0.0127
374,1,26,26,26,278,26,22,0.8000,0.8000,0.8500,0.0661
375,1,26,26,26,50,26,9,0.2000,0.1000,0.3000,0.0497
378,1,26,26,26,52,26,8,0.8000,0.5000,0.4000,0.1116
383,1,26,26,26,137,26,7,0.0000,0.3000,0.3000,0.0148
389,1,26,26,26,153,26,5,0.0000,0.2000,0.2000,0.0069
393,1,26,26,26,97,26,10,0.6000,0.6000,0.4500,0.0703
394,1,26,26,26,71,26,24,0.8000,0.9000,0.9000,0.3073
397,1,26,26,26,88,26,2,0.0000,0.0000,0.0000,0.0013
399,1,26,26,26,232,26,19,0.8000,0.6000,0.7000,0.0590
401,1,26,26,26,83,26,1,0.0000,0.0000,0.0000,0.0005
404,1,26,26,26,299,26,17,0.8000,0.7000,0.6500,0.0435
408,1,26,26,26,183,26,6,0.6000,0.3000,0.2500,0.0192
409,1,26,26,26,151,26,14,0.6000,0.6000,0.5000,0.0584
416,1,26,26,26,163,26,11,0.4000,0.3000,0.4500,0.0274
419,1,26,26,26,17,26,1,0.0000,0.0000,0.0000,0.0025
426,1,26,26,26,177,26,11,0.6000,0.5000,0.4500,0.0369
427,1,26,26,26,58,26,9,0.2000,0.3000,0.2000,0.0590
433,1,26,26,26,27,26,4,0.0000,0.0000,0.0000,0.0151
435,1,26,26,26,152,26,6,0.2000,0.2000,0.2500,0.0102
436,1,26,26,26,356,26,6,0.4000,0.4000,0.3000,0.0091
439,1,26,26,26,127,26,6,0.2000,0.2000,0.3000,0.0111
443,1,26,26,26,240,26,22,1.0000,0.9000,0.8500,0.0845
448,1,26,26,26,121,26,1,0.0000,0.0000,0.0500,0.0005
622,1,26,26,26,155,26,22,0.4000,0.6000,0.8000,0.0991
625,1,26,26,26,109,26,3,0.0000,0.0000,0.1000,0.0026
638,1,26,26,26,180,26,20,0.6000,0.8000,0.7500,0.0816
639,1,26,26,26,165,26,9,0.8000,0.5000,0.4000,0.0322
648,1,26,26,26,64,26,24,0.8000,0.9000,0.9500,0.3357
650,1,26,26,26,32,26,6,0.4000,0.3000,0.2000,0.0618
651,1,26,26,26,97,26,3,0.2000,0.1000,0.1000,0.0049
658,1,26,26,26,116,26,12,0.4000,0.4000,0.5000,0.0508
689,1,26,26,26,110,26,16,0.6000,0.8000,0.7500,0.1112
